N	Z	A	EL	BE	BEd	MASS	MASSd
28	29	57	Cu	8503.262	0.009	56949211.819	0.557
27	30	57	Zn	8231#	4#	56965056#	215#
26	31	57	Ga	7909#	7#	56983886#	429#
38	20	58	Ca	7835#	9#	57997940#	537#
37	21	58	Sc	8045#	7#	57984030#	429#
36	22	58	Ti	8311#	3#	57966602#	215#
35	23	58	V	8457.658	1.541	57956626.932	95.947
34	24	58	Cr	8643.998	0.026	57944184.502	1.600
33	25	58	Mn	8696.643	0.047	57940066.646	2.900
32	26	58	Fe	8792.250	0.006	57933273.738	0.368
31	27	58	Co	8738.969	0.020	57935751.429	1.245
30	28	58	Ni	8732.059	0.006	57935341.780	0.400
29	29	58	Cu	8570.967	0.010	57944532.413	0.621
28	30	58	Zn	8395.944	0.862	57954590.428	53.678
27	31	58	Ga	8059#	5#	57974729#	322#
26	32	58	Ge	7762#	9#	57992399#	537#
38	21	59	Sc	7967#	7#	58988940#	429#
37	22	59	Ti	8212#	3#	58972614#	215#
36	23	59	V	8407.555	2.744	58959385.659	173.778
35	24	59	Cr	8568.087	3.667	58948377.810	232.279
34	25	59	Mn	8680.921	0.039	58940391.113	2.500
33	26	59	Fe	8754.771	0.006	58934873.649	0.380
32	27	59	Co	8768.035	0.007	58933193.656	0.448
31	28	59	Ni	8736.588	0.006	58934345.571	0.402
30	29	59	Cu	8642.000	0.009	58939496.844	0.584
29	30	59	Zn	8473.777	0.013	58949312.017	0.827
28	31	59	Ga	8232#	3#	58963757#	183#
27	32	59	Ge	7916#	7#	58982963#	429#
39	21	60	Sc	7865#	8#	59995650#	537#
38	22	60	Ti	8157#	5#	59976028#	322#
37	23	60	V	8325.450	3.669	59964313.290	236.350
36	24	60	Cr	8536.205	3.227	59949898.146	207.830
35	25	60	Mn	8628.138	0.039	59943136.576	2.500
34	26	60	Fe	8755.851	0.057	59934070.411	3.659
33	27	60	Co	8746.766	0.007	59933815.667	0.455
32	28	60	Ni	8780.774	0.006	59930785.256	0.403
31	29	60	Cu	8665.602	0.027	59937363.916	1.736
30	30	60	Zn	8583.050	0.009	59941841.450	0.605
29	31	60	Ga	8327#	3#	59957498#	215#
28	32	60	Ge	8106#	5#	59970918#	322#
27	33	60	As	7732#	7#	59994128#	429#
40	21	61	Sc	7787#	10#	61001000#	644#
39	22	61	Ti	8057#	7#	60982448#	429#
38	23	61	V	8276.439	14.660	60967250.000	960.000
37	24	61	Cr	8459.824	1.661	60954400.963	108.793
36	25	61	Mn	8598.915	0.038	60944452.544	2.500
35	26	61	Fe	8703.768	0.043	60936746.244	2.800
34	27	61	Co	8756.148	0.014	60932476.145	0.908
33	28	61	Ni	8765.025	0.006	60931054.945	0.405
32	29	61	Cu	8715.514	0.016	60933457.371	1.023
31	30	61	Zn	8610.309	0.261	60939506.960	17.068
30	31	61	Ga	8446.431	0.623	60949398.859	40.787
29	32	61	Ge	8208#	5#	60964187#	322#
28	33	61	As	7925#	5#	60981857#	322#
40	22	62	Ti	7995#	6#	61986581#	429#
39	23	62	V	8192#	5#	61972650#	320#
38	24	62	Cr	8428.069	2.389	61956097.451	158.991
37	25	62	Mn	8538.499	0.106	61947907.386	7.023
36	26	62	Fe	8692.882	0.045	61936791.812	3.000
35	27	62	Co	8721.332	0.300	61934058.317	19.940
34	28	62	Ni	8794.553	0.007	61928344.871	0.470
33	29	62	Cu	8718.081	0.010	61932594.921	0.694
32	30	62	Zn	8679.343	0.010	61934333.477	0.670
31	31	62	Ga	8518.642	0.010	61944189.757	0.694
30	32	62	Ge	8341#	2#	61955190#	150#
29	33	62	As	8047#	5#	61973891#	322#
41	22	63	Ti	7889#	8#	62993827#	537#
40	23	63	V	8133#	6#	62976500#	429#
39	24	63	Cr	8344.828	5.684	62961344.384	384.407
38	25	63	Mn	8505.101	0.059	62949664.675	4.000
37	26	63	Fe	8631.549	0.068	62940272.700	4.618
36	27	63	Co	8717.795	0.295	62933599.744	19.941
35	28	63	Ni	8763.493	0.007	62929669.139	0.472
34	29	63	Cu	8752.138	0.007	62929597.236	0.472
33	30	63	Zn	8686.285	0.025	62933211.167	1.676
32	31	63	Ga	8583.926	0.021	62939294.195	1.400
31	32	63	Ge	8418.716	0.591	62949628.000	40.000
30	33	63	As	8193#	3#	62964036#	215#
42	22	64	Ti	7818#	9#	63998900#	644#
41	23	64	V	8045#	6#	63982480#	429#
40	24	64	Cr	8301.058	6.870	63964058.000	472.000
39	25	64	Mn	8437.417	0.055	63953849.370	3.800
38	26	64	Fe	8612.388	0.078	63940987.763	5.386
37	27	64	Co	8675.520	0.313	63935810.291	21.476
36	28	64	Ni	8777.461	0.007	63927966.341	0.510
35	29	64	Cu	8739.075	0.007	63929763.857	0.481
34	30	64	Zn	8735.905	0.010	63929141.772	0.694
33	31	64	Ga	8611.631	0.022	63936840.365	1.533
32	32	64	Ge	8528.823	0.058	63941689.913	4.000
31	33	64	As	8286#	3#	63957560#	218#
30	34	64	Se	8073#	8#	63971336#	540#
42	23	65	V	7976#	8#	64987354#	537#
41	24	65	Cr	8217#	5#	64969705#	322#
40	25	65	Mn	8400.681	0.057	64956019.750	4.000
39	26	65	Fe	8546.346	0.079	64945015.324	5.487
38	27	65	Co	8656.884	0.032	64936462.073	2.235
37	28	65	Ni	8736.240	0.008	64930084.697	0.531
36	29	65	Cu	8757.096	0.010	64927789.487	0.697
35	30	65	Zn	8724.265	0.010	64929240.532	0.697
34	31	65	Ga	8662.160	0.013	64932734.395	0.874
33	32	65	Ge	8555.058	0.033	64939368.137	2.323
32	33	65	As	8396.234	1.304	64949611.000	91.000
31	34	65	Se	8170#	5#	64964552#	322#
43	23	66	V	7884#	8#	65993977#	537#
42	24	66	Cr	8161#	6#	65973462#	429#
41	25	66	Mn	8331.798	0.169	65960546.834	12.000
40	26	66	Fe	8521.724	0.062	65946249.960	4.400
39	27	66	Co	8605.941	0.212	65939442.945	15.000
38	28	66	Ni	8739.508	0.021	65929139.334	1.500
37	29	66	Cu	8731.472	0.010	65928868.814	0.703
36	30	66	Zn	8759.632	0.011	65926033.704	0.804
35	31	66	Ga	8669.361	0.017	65931589.832	1.176
34	32	66	Ge	8625.437	0.036	65933862.126	2.577
33	33	66	As	8468.403	0.086	65944148.779	6.100
32	34	66	Se	8300#	3#	65955276#	215#
44	23	67	V	7812#	9#	66999302#	644#
43	24	67	Cr	8070#	6#	66979946#	429#
42	25	67	Mn	8279#	4#	66964079#	322#
41	26	67	Fe	8448.469	4.034	66951035.482	290.163
40	27	67	Co	8581.741	0.096	66940609.628	6.917
39	28	67	Ni	8695.750	0.043	66931569.414	3.100
38	29	67	Cu	8737.458	0.013	66927729.526	0.959
37	30	67	Zn	8734.152	0.011	66927127.482	0.815
36	31	67	Ga	8707.531	0.018	66928202.384	1.268
35	32	67	Ge	8632.857	0.070	66932733.620	5.003
34	33	67	As	8530.568	0.007	66939251.111	0.475
33	34	67	Se	8369.534	1.001	66949994.000	72.000
32	35	67	Br	8152#	6#	66964798#	429#
44	24	68	Cr	8013#	7#	67984112#	537#
43	25	68	Mn	8201#	6#	67969533#	429#
42	26	68	Fe	8411.698	5.371	67953314.875	392.121
41	27	68	Co	8524.366	2.787	67944250.135	203.433
40	28	68	Ni	8682.466	0.044	67931868.789	3.200
39	29	68	Cu	8701.890	0.023	67929610.889	1.700
38	30	68	Zn	8755.680	0.012	67924844.291	0.841
37	31	68	Ga	8701.218	0.021	67927980.221	1.538
36	32	68	Ge	8688.136	0.028	67928095.308	2.014
35	33	68	As	8557.745	0.027	67936774.130	1.981
34	34	68	Se	8477.047	0.007	67941825.239	0.532
33	35	68	Br	8239#	4#	67958356#	278#
45	24	69	Cr	7924#	7#	68990789#	537#
44	25	69	Mn	8147#	6#	68973408#	429#
43	26	69	Fe	8342#	6#	68958100#	429#
42	27	69	Co	8493.865	2.036	68946023.102	150.839
41	28	69	Ni	8623.099	0.054	68935610.268	4.000
40	29	69	Cu	8695.204	0.020	68929429.268	1.500
39	30	69	Zn	8722.729	0.012	68926550.418	0.858
38	31	69	Ga	8724.579	0.017	68925573.531	1.285
37	32	69	Ge	8680.963	0.019	68927964.471	1.414
36	33	69	As	8611.821	0.464	68932246.294	34.352
35	34	69	Se	8503.707	0.022	68939414.847	1.599
34	35	69	Br	8344.902	0.609	68950338.413	45.092
33	36	69	Kr	8133#	6#	68965180#	430#
46	24	70	Cr	7867#	9#	69995191#	644#
45	25	70	Mn	8070#	7#	69979066#	537#
44	26	70	Fe	8302#	6#	69960805#	429#
43	27	70	Co	8436#	4#	69949941#	322#
42	28	70	Ni	8604.291	0.031	69936431.303	2.301
41	29	70	Cu	8646.865	0.015	69932392.079	1.161
40	30	70	Zn	8729.808	0.027	69925319.181	2.058
39	31	70	Ga	8709.280	0.017	69926021.917	1.289
38	32	70	Ge	8721.700	0.012	69924248.706	0.900
37	33	70	As	8621.666	0.714	69930926.151	53.684
36	34	70	Se	8576.033	0.023	69933515.523	1.700
35	35	70	Br	8414.796	0.213	69944792.323	16.000
34	36	70	Kr	8256#	3#	69955877#	215#
46	25	71	Mn	8015#	7#	70983285#	537#
45	26	71	Fe	8227#	6#	70966259#	429#
44	27	71	Co	8398.734	6.550	70952366.923	499.230
43	28	71	Ni	8543.156	0.032	70940518.964	2.401
42	29	71	Cu	8635.022	0.021	70932676.832	1.600
41	30	71	Zn	8689.041	0.037	70927719.580	2.849
40	31	71	Ga	8717.604	0.011	70924702.536	0.871
39	32	71	Ge	8703.309	0.012	70924952.284	0.894
38	33	71	As	8663.932	0.059	70927113.758	4.473
37	34	71	Se	8586.060	0.039	70932209.432	3.000
36	35	71	Br	8481.462	0.076	70939342.156	5.799
35	36	71	Kr	8327.130	1.814	70950265.696	138.238
34	37	71	Rb	8115#	6#	70965582#	429#
47	25	72	Mn	7937#	8#	71989372#	644#
46	26	72	Fe	8184#	7#	71969479#	537#
45	27	72	Co	8336#	6#	71956844#	429#
44	28	72	Ni	8520.211	0.031	71941785.926	2.401
43	29	72	Cu	8586.525	0.019	71935820.307	1.500
42	30	72	Zn	8691.805	0.030	71926842.807	2.300
41	31	72	Ga	8687.089	0.011	71926367.434	0.878
40	32	72	Ge	8731.745	0.001	71922075.826	0.081
39	33	72	As	8660.378	0.057	71926752.295	4.383
38	34	72	Se	8644.489	0.027	71927140.507	2.100
37	35	72	Br	8511.312	0.014	71936594.607	1.100
36	36	72	Kr	8429.319	0.111	71942092.407	8.600
35	37	72	Rb	8202#	7#	71958851#	537#
47	26	73	Fe	8106#	7#	72975416#	537#
46	27	73	Co	8295#	5#	72959830#	429#
45	28	73	Ni	8457.652	0.033	72946206.683	2.601
44	29	73	Cu	8568.569	0.027	72936674.378	2.084
43	30	73	Zn	8648.345	0.026	72929582.582	2.000
42	31	73	Ga	8693.873	0.023	72925174.682	1.800
41	32	73	Ge	8705.049	0.001	72923458.956	0.061
40	33	73	As	8689.609	0.053	72923829.089	4.136
39	34	73	Se	8641.558	0.102	72926754.883	7.969
38	35	73	Br	8568.103	0.100	72931671.621	7.800
37	36	73	Kr	8460.184	0.090	72939289.195	7.061
36	37	73	Rb	8306#	3#	72950529#	215#
35	38	73	Sr	8102#	5#	72965700#	430#
48	26	74	Fe	8061#	8#	73978969#	644#
47	27	74	Co	8229#	7#	73964766#	537#
46	28	74	Ni	8430#	3#	73947980#	210#
45	29	74	Cu	8521.562	0.083	73939874.862	6.600
44	30	74	Zn	8642.754	0.034	73929407.262	2.700
43	31	74	Ga	8663.167	0.040	73926945.726	3.214
42	32	74	Ge	8725.200	0.000	73921177.762	0.013
41	33	74	As	8680.001	0.023	73923928.598	1.817
40	34	74	Se	8687.715	0.000	73922475.935	0.015
39	35	74	Br	8583.561	0.079	73929910.281	6.264
38	36	74	Kr	8533.038	0.027	73933084.017	2.161
37	37	74	Rb	8381.712	0.041	73944265.868	3.249
36	38	74	Sr	8221#	1#	73956170#	107#
49	26	75	Fe	7982#	8#	74985357#	644#
48	27	75	Co	8185#	7#	74968170#	537#
47	28	75	Ni	8366#	4#	74952732#	322#
46	29	75	Cu	8495.094	0.031	74941522.606	2.501
45	30	75	Zn	8592.497	0.026	74932840.246	2.100
44	31	75	Ga	8660.808	0.032	74926500.246	2.600
43	32	75	Ge	8695.609	0.001	74922858.371	0.055
42	33	75	As	8700.874	0.012	74921594.562	0.948
41	34	75	Se	8678.913	0.001	74922522.871	0.078
40	35	75	Br	8627.649	0.057	74925810.570	4.600
39	36	75	Kr	8553.439	0.108	74930945.746	8.700
38	37	75	Rb	8448.275	0.016	74938573.201	1.266
37	38	75	Sr	8296.511	2.933	74949952.770	236.183
36	39	75	Y	8089#	4#	74965840#	322#
49	27	76	Co	8116#	8#	75973687#	644#
48	28	76	Ni	8331#	5#	75955308#	429#
47	29	76	Cu	8443.527	0.088	75945275.025	7.200
46	30	76	Zn	8582.273	0.019	75933114.957	1.562
45	31	76	Ga	8624.526	0.026	75928827.625	2.100
44	32	76	Ge	8705.236	0.000	75921402.726	0.019
43	33	76	As	8682.816	0.012	75922392.010	0.951
42	34	76	Se	8711.477	0.000	75919213.704	0.017
41	35	76	Br	8635.882	0.123	75924541.577	10.007
40	36	76	Kr	8608.807	0.053	75925910.726	4.308
39	37	76	Rb	8486.215	0.012	75935073.032	1.006
38	38	76	Sr	8393.929	0.453	75941762.761	37.000
37	39	76	Y	8176#	4#	75958690#	322#
50	27	77	Co	8070#	8#	76977440#	644#
49	28	77	Ni	8265#	6#	76960494#	537#
48	29	77	Cu	8408#	2#	76947800#	160#
47	30	77	Zn	8530.003	0.026	76936887.199	2.117
46	31	77	Ga	8613.390	0.031	76929154.300	2.600
45	32	77	Ge	8671.028	0.001	76923549.844	0.056
44	33	77	As	8695.978	0.022	76920647.564	1.817
43	34	77	Se	8694.690	0.001	76919914.150	0.067
42	35	77	Br	8666.806	0.037	76921379.194	3.017
41	36	77	Kr	8616.836	0.025	76924670.000	2.100
40	37	77	Rb	8537.339	0.017	76930401.600	1.400
39	38	77	Sr	8435.918	0.103	76937945.455	8.500
38	39	77	Y	8278#	3#	76950146#	218#
37	40	77	Zr	8081#	5#	76965604#	429#
50	28	78	Ni	8225#	8#	77963618#	644#
49	29	78	Cu	8350.925	6.449	77952230.000	540.000
48	30	78	Zn	8507.379	0.025	77938289.205	2.086
47	31	78	Ga	8577.127	0.024	77931608.845	2.043
46	32	78	Ge	8671.663	0.045	77922852.912	3.795
45	33	78	As	8673.875	0.125	77921827.795	10.500
44	34	78	Se	8717.806	0.002	77917309.243	0.191
43	35	78	Br	8661.959	0.046	77921145.859	3.842
42	36	78	Kr	8661.238	0.004	77920366.341	0.329
41	37	78	Rb	8558.350	0.042	77928141.868	3.475
40	38	78	Sr	8500.096	0.096	77932179.980	8.000
39	39	78	Y	8349#	4#	77943990#	320#
38	40	78	Zr	8194#	5#	77956146#	429#
51	28	79	Ni	8143#	8#	78970402#	644#
50	29	79	Cu	8312#	4#	78955190#	322#
49	30	79	Zn	8450.582	0.028	78942638.068	2.388
48	31	79	Ga	8556.063	0.024	78932852.301	2.005
47	32	79	Ge	8634.501	0.471	78925360.129	39.915
46	33	79	As	8676.616	0.067	78920948.445	5.719
45	34	79	Se	8695.592	0.003	78918499.251	0.238
44	35	79	Br	8687.594	0.013	78918337.601	1.095
43	36	79	Kr	8657.112	0.044	78920082.945	3.742
42	37	79	Rb	8601.142	0.027	78923989.864	2.300
41	38	79	Sr	8523.820	0.106	78929707.664	9.000
40	39	79	Y	8416.967	1.002	78937930.000	85.000
39	40	79	Zr	8267#	4#	78949790#	322#
38	41	79	Nb	8066#	6#	78966022#	537#
52	28	80	Ni	8080#	9#	79975706#	751#
51	29	80	Cu	8240#	5#	79961138#	429#
50	30	80	Zn	8423.545	0.032	79944552.930	2.774
49	31	80	Ga	8508.454	0.036	79936420.774	3.103
48	32	80	Ge	8627.570	0.026	79925350.774	2.205
47	33	80	As	8651.280	0.042	79922474.548	3.577
46	34	80	Se	8710.813	0.012	79916521.785	1.034
45	35	80	Br	8677.653	0.013	79918529.810	1.086
44	36	80	Kr	8692.928	0.009	79916378.048	0.742
43	37	80	Rb	8611.675	0.023	79922516.444	2.000
42	38	80	Sr	8578.596	0.043	79924517.540	3.718
41	39	80	Y	8454.275	0.078	79934354.755	6.701
40	40	80	Zr	8360#	4#	79941642#	322#
39	41	80	Nb	8151#	5#	79958754#	429#
52	29	81	Cu	8179#	6#	80966269#	537#
51	30	81	Zn	8351.925	0.062	80950402.619	5.400
50	31	81	Ga	8483.357	0.040	80938133.842	3.503
49	32	81	Ge	8580.658	0.025	80928832.942	2.205
48	33	81	As	8648.056	0.033	80922132.290	2.838
47	34	81	Se	8685.999	0.012	80917993.044	1.065
46	35	81	Br	8695.946	0.012	80916288.206	1.049
45	36	81	Kr	8682.820	0.013	80916589.714	1.152
44	37	81	Rb	8645.513	0.061	80918993.927	5.264
43	38	81	Sr	8587.354	0.039	80923211.394	3.358
42	39	81	Y	8505.902	0.067	80929454.283	5.802
41	40	81	Zr	8394.358	1.161	80938314.000	101.000
40	41	81	Nb	8248#	5#	80950230#	429#
39	42	81	Mo	8058#	6#	80965915#	537#
53	29	82	Cu	8103#	7#	81972818#	644#
52	30	82	Zn	8301.117	0.037	81954574.099	3.300
51	31	82	Ga	8421.049	0.030	81943176.533	2.604
50	32	82	Ge	8563.756	0.027	81929774.033	2.405
49	33	82	As	8611.414	0.045	81924738.733	4.003
48	34	82	Se	8693.196	0.006	81916699.537	0.500
47	35	82	Br	8682.494	0.012	81916801.760	1.042
46	36	82	Kr	8710.675	0.000	81913481.15520	0.00589
45	37	82	Rb	8647.427	0.037	81918209.024	3.230
44	38	82	Sr	8635.718	0.073	81918399.847	6.432
43	39	82	Y	8529.275	0.067	81926930.188	5.902
42	40	82	Zr	8465.676	0.136	81931689.000	12.000
41	41	82	Nb	8315#	4#	81944079#	322#
40	42	82	Mo	8163#	5#	81956661#	429#
53	30	83	Zn	8226#	4#	82961041#	322#
52	31	83	Ga	8372.575	0.031	82947120.301	2.804
51	32	83	Ge	8504.345	0.029	82934539.101	2.605
50	33	83	As	8599.653	0.034	82925206.901	3.004
49	34	83	Se	8658.555	0.037	82919118.609	3.259
48	35	83	Br	8693.384	0.046	82915175.289	4.073
47	36	83	Kr	8695.729	0.000	82914126.518	0.009
46	37	83	Rb	8675.218	0.028	82915114.182	2.500
45	38	83	Sr	8638.407	0.082	82917554.374	7.336
44	39	83	Y	8573.656	0.224	82922484.025	20.000
43	40	83	Zr	8488.399	0.077	82929240.925	6.902
42	41	83	Nb	8378.304	1.818	82938211.000	162.000
41	42	83	Mo	8234#	5#	82950252#	430#
40	43	83	Tc	8043#	6#	82966377#	537#
54	30	84	Zn	8172#	5#	83965722#	429#
53	31	84	Ga	8307#	2#	83952670#	215#
52	32	84	Ge	8465.524	0.038	83937575.091	3.403
51	33	84	As	8547.938	0.038	83929303.291	3.403
50	34	84	Se	8658.793	0.023	83918466.762	2.105
49	35	84	Br	8671.329	0.306	83916496.419	27.622
48	36	84	Kr	8717.446	0.000	83911497.72863	0.00407
47	37	84	Rb	8676.224	0.026	83914375.225	2.355
46	38	84	Sr	8677.512	0.015	83913419.120	1.334
45	39	84	Y	8587.780	0.051	83920671.061	4.615
44	40	84	Zr	8549.029	0.065	83923325.662	5.903
43	41	84	Nb	8418.252	0.155	83934279.000	14.000
42	42	84	Mo	8325#	4#	83941846#	320#
41	43	84	Tc	8120#	5#	83959527#	429#
55	30	85	Zn	8092#	6#	84972914#	537#
54	31	85	Ga	8255#	4#	84957220#	320#
53	32	85	Ge	8401.768	0.044	84942969.659	4.003
52	33	85	As	8510.984	0.036	84932163.659	3.304
51	34	85	Se	8610.304	0.031	84922260.759	2.804
50	35	85	Br	8673.592	0.036	84915645.759	3.304
49	36	85	Kr	8698.562	0.024	84912527.262	2.147
48	37	85	Rb	8697.441	0.000	84911789.73760	0.00534
47	38	85	Sr	8675.718	0.033	84912932.043	3.020
46	39	85	Y	8628.148	0.223	84916433.039	20.360
45	40	85	Zr	8564.039	0.076	84921443.198	6.902
44	41	85	Nb	8473.711	0.048	84928845.837	4.400
43	42	85	Mo	8361.331	0.186	84938260.737	17.000
42	43	85	Tc	8215#	5#	84950778#	429#
41	44	85	Ru	8030#	6#	84966774#	537#
55	31	86	Ga	8186#	5#	85963414#	429#
54	32	86	Ge	8354.629	5.091	85946967.000	470.000
53	33	86	As	8456.721	0.040	85936701.533	3.703
52	34	86	Se	8581.822	0.029	85924311.733	2.705
51	35	86	Br	8632.365	0.036	85918805.433	3.304
50	36	86	Kr	8712.029	0.000	85910610.62627	0.00396
49	37	86	Rb	8696.901	0.002	85911167.443	0.214
48	38	86	Sr	8708.456	0.000	85909260.72631	0.00561
47	39	86	Y	8638.428	0.164	85914886.098	15.182
46	40	86	Zr	8614.051	0.041	85916296.815	3.827
45	41	86	Nb	8502.222	0.064	85925781.535	5.903
44	42	86	Mo	8434.709	0.043	85931174.817	4.000
43	43	86	Tc	8280#	3#	85944637#	322#
42	44	86	Ru	8133#	5#	85957305#	429#
56	31	87	Ga	8129#	6#	86968599#	537#
55	32	87	Ge	8290#	3#	86952680#	322#
54	33	87	As	8413.851	0.034	86940291.718	3.204
53	34	87	Se	8529.091	0.026	86928688.618	2.405
52	35	87	Br	8605.910	0.036	86920674.018	3.404
51	36	87	Kr	8675.283	0.003	86913354.759	0.264
50	37	87	Rb	8710.983	0.000	86909180.531	0.006
49	38	87	Sr	8705.236	0.000	86908877.49615	0.00548
48	39	87	Y	8674.844	0.013	86910876.102	1.210
47	40	87	Zr	8623.654	0.048	86914817.339	4.450
46	41	87	Nb	8551.757	0.078	86920692.472	7.302
45	42	87	Mo	8462.424	0.033	86928196.201	3.067
44	43	87	Tc	8347.744	0.048	86938067.187	4.500
43	44	87	Ru	8199#	5#	86951132#	429#
56	32	88	Ge	8243#	5#	87956910#	429#
55	33	88	As	8354#	2#	87945550#	210#
54	34	88	Se	8495.004	0.038	87931417.491	3.604
53	35	88	Br	8563.747	0.036	87924083.291	3.404
52	36	88	Kr	8656.849	0.030	87914447.881	2.800
51	37	88	Rb	8681.115	0.002	87911315.591	0.171
50	38	88	Sr	8732.595	0.000	87905612.25561	0.00599
49	39	88	Y	8682.539	0.017	87909501.276	1.610
48	40	88	Zr	8666.033	0.061	87910220.709	5.800
47	41	88	Nb	8572.424	0.668	87918224.287	63.134
46	42	88	Mo	8523.908	0.043	87921967.781	4.100
45	43	88	Tc	8389.958	1.694	87933782.381	160.000
44	44	88	Ru	8298#	3#	87941664#	322#
43	45	88	Rh	8090#	5#	87960429#	429#
57	32	89	Ge	8169#	4#	88963790#	429#
56	33	89	As	8307#	3#	88949760#	320#
55	34	89	Se	8435.279	0.042	88936669.059	4.003
54	35	89	Br	8530.779	0.037	88926704.559	3.504
53	36	89	Kr	8614.815	0.024	88917835.450	2.300
52	37	89	Rb	8664.189	0.061	88912278.137	5.825
51	38	89	Sr	8705.922	0.001	88907450.808	0.098
50	39	89	Y	8713.978	0.018	88905841.205	1.730
49	40	89	Zr	8673.359	0.035	88908882.332	3.310
48	41	89	Nb	8616.812	0.266	88913445.272	25.369
47	42	89	Mo	8544.984	0.044	88919468.150	4.200
46	43	89	Tc	8450.575	0.043	88927648.650	4.100
45	44	89	Ru	8339#	3#	88937455#	320#
44	45	89	Rh	8191#	4#	88950767#	387#
58	32	90	Ge	8118#	6#	89968630#	537#
57	33	90	As	8244#	4#	89955630#	429#
56	34	90	Se	8395.766	3.664	89940096.000	354.000
55	35	90	Br	8478.186	0.037	89931292.850	3.604
54	36	90	Kr	8591.259	0.021	89919527.930	2.000
53	37	90	Rb	8631.512	0.072	89914798.803	6.960
52	38	90	Sr	8695.972	0.024	89907730.885	2.280
51	39	90	Y	8693.345	0.018	89907144.800	1.729
50	40	90	Zr	8709.969	0.001	89904698.758	0.126
49	41	90	Nb	8633.376	0.037	89911259.204	3.561
48	42	90	Mo	8597.028	0.038	89913931.272	3.717
47	43	90	Tc	8483.359	0.011	89924073.921	1.100
46	44	90	Ru	8409.768	0.041	89930344.379	4.004
45	45	90	Rh	8255#	3#	89944498#	322#
44	46	90	Pd	8113#	4#	89957370#	429#
58	33	91	As	8193#	4#	90960390#	429#
57	34	91	Se	8334.837	4.760	90945700.000	465.000
56	35	91	Br	8441.923	0.039	90934398.618	3.804
55	36	91	Kr	8541.751	0.025	90923806.310	2.400
54	37	91	Rb	8607.561	0.086	90916537.265	8.375
53	38	91	Sr	8663.875	0.060	90910195.958	5.853
52	39	91	Y	8684.941	0.020	90907298.066	1.978
51	40	91	Zr	8693.314	0.001	90905640.223	0.112
50	41	91	Nb	8670.897	0.032	90906990.274	3.141
49	42	91	Mo	8613.628	0.069	90911745.195	6.696
48	43	91	Tc	8536.655	0.026	90918424.975	2.536
47	44	91	Ru	8442.928	0.024	90926741.532	2.384
46	45	91	Rh	8328#	3#	90937123#	320#
45	46	91	Pd	8181#	4#	90950692#	430#
59	33	92	As	8127#	5#	91966740#	537#
58	34	92	Se	8290#	4#	91949840#	429#
57	35	92	Br	8384.911	0.073	91939631.597	7.202
56	36	92	Kr	8512.674	0.029	91926173.094	2.900
55	37	92	Rb	8569.422	0.067	91919728.481	6.573
54	38	92	Sr	8648.906	0.037	91911038.224	3.675
53	39	92	Y	8661.589	0.099	91908945.745	9.798
52	40	92	Zr	8692.678	0.001	91905035.322	0.109
51	41	92	Nb	8662.372	0.019	91907188.568	1.915
50	42	92	Mo	8657.730	0.002	91906807.155	0.168
49	43	92	Tc	8563.543	0.034	91915269.779	3.330
48	44	92	Ru	8504.773	0.030	91920234.375	2.917
47	45	92	Rh	8373.420	0.048	91932367.694	4.700
46	46	92	Pd	8273#	3#	91941406#	322#
45	47	92	Ag	8075#	5#	91960139#	537#
59	34	93	Se	8223#	4#	92956290#	429#
58	35	93	Br	8345.598	4.632	92943220.000	462.500
57	36	93	Kr	8458.108	0.027	92931147.174	2.700
56	37	93	Rb	8540.920	0.084	92922039.325	8.406
55	38	93	Sr	8612.787	0.081	92914024.311	8.109
54	39	93	Y	8648.905	0.113	92909578.422	11.259
53	40	93	Zr	8671.620	0.005	92906470.646	0.490
52	41	93	Nb	8664.184	0.016	92906373.161	1.600
51	42	93	Mo	8651.409	0.002	92906808.773	0.193
50	43	93	Tc	8608.577	0.011	92910245.149	1.086
49	44	93	Ru	8531.462	0.022	92917104.444	2.216
48	45	93	Rh	8434.825	0.028	92925912.781	2.821
47	46	93	Pd	8319#	3#	92936660#	323#
46	47	93	Ag	8173#	4#	92950330#	430#
60	34	94	Se	8180#	5#	93960490#	537#
59	35	94	Br	8284#	3#	93949114#	322#
58	36	94	Kr	8424.331	0.129	93934140.454	13.000
57	37	94	Rb	8492.764	0.022	93926394.818	2.177
56	38	94	Sr	8593.834	0.018	93915355.643	1.785
55	39	94	Y	8622.806	0.068	93911592.063	6.849
54	40	94	Zr	8666.801	0.002	93906312.524	0.175
53	41	94	Nb	8648.901	0.016	93907278.992	1.601
52	42	94	Mo	8662.333	0.002	93905083.592	0.151
51	43	94	Tc	8608.736	0.043	93909652.325	4.370
50	44	94	Ru	8583.661	0.033	93911342.863	3.374
49	45	94	Rh	8472.402	0.036	93921730.453	3.627
48	46	94	Pd	8391.682	0.046	93929036.292	4.602
47	47	94	Ag	8238#	4#	93943736#	429#
46	48	94	Cd	8099#	5#	93956908#	537#
61	34	95	Se	8112#	5#	94967300#	537#
60	35	95	Br	8244#	3#	94953010#	320#
59	36	95	Kr	8365.995	0.196	94939710.923	20.000
58	37	95	Rb	8460.208	0.213	94929262.568	21.734
57	38	95	Sr	8549.111	0.061	94919355.840	6.239
56	39	95	Y	8604.973	0.071	94912818.711	7.277
55	40	95	Zr	8643.592	0.009	94908040.267	0.933
