compound,raw_values,measurement_wavelength
pentanol,1.459,
pentanol,1.455,
pentanol,1.447,
pentanol,1.435,414
silver,1.333,4088
Ethanol,1.36,
Polysulphone,1.63,
Polyacrylate,1.49,
Pyridine,1.507,
Octanol,1.429,
Hexanol,1.418,
Dimethylsulfoxide,1.478,
Butanol,1.359,
2-Propanol,1.375,
Ethanol,1.361,
Methanol,1.329,0
DCMP,1.7239,
InAs,4.476,
InAs,4.03,
HCO,1.568,
LCO,1.5418,
HCO,1.5893,397
TCO,1.6,395
TCO,1.602,395
TCO,1.612,392
TCO,1.614,
Methanol,1.3265,
Ethanol,1.3594,
n-Propanol,1.3837,
n-Butanol,1.3934,
n-Hexanol,1.4157,
SiO2PECVD-30,1.47,
SiO2PECVD-5,1.47,
SiO2,1.45,
ZnO,2.075,
ZnO,2.081,
ZnO,2.131,
lamotrigine,1.56,
VK3,1.16,
O2N-VK3,1.16,
NaCl,4.15,6328
ZnBBi,1.773,380
THF,1.407,493
THF,1.407,113
THF,1.407,379
DMF,1.4305,495
DMF,1.4305,116
DMF,1.4305,378
EtOH,1.3614,487
EtOH,1.3614,109
EtOH,1.3614,384
PVC,1.5247,502
PVC,1.5247,118
PVC,1.5247,
iron(II),1.5515,
iron(III),1.5427,
CaF2,1.45,
clonazepam,1.05,
clonazepam,1.06,
clonazepam,1.05,
clonazepam,1.06,
clonazepam,1.01,
Pd(II),1.09,550
Cu(NO3)2·3H20,2.33,550
Cu(CH3COO)2·H20,2.85,550
CuCl2·2H20,3.44,550
CuSO4·5H20,4.89,
TMPyP4,1.84,
DMF,1.4305,
Acetonitrile,1.344,
DMSO,1.479,
Tetrahydrofuran,1.407,
Chloroform,1.4429,
Ethanol,1.3614,
Ethylacetate,1.37,
2-Propanol,1.377,
Benzylalcohol,1.54,
Benzonitrile,1.528,
Methanol,1.328,
TiO2,1.1,
TiO2,1.92,
BaTiO3,2.41,
MgO,1.73,
SrTiO3,2.39,
MgAl2O4,1.73,
Al2O3,1.76,1550
TeO2–P2O5–Al2O3,2,1550
TeO2–ZnO,2.002,1550
TeO2–ZnO,1.833,1550
Na2O–Nb2O5–TeO2NNT,2.0578,1550
TeO2–ZnO,2.033,1550
TeO2–ZnO,2.04,1550
TeO2–BaF2–Na2O,1.7469,1550
B2O3–ZnO,2.409,
Methanol,1.33,
Ethanol,1.36,
Butanol,1.39,
Ethyleneglycol,1.43,
Glycerol,1.47,
Toluene,1.49,
H2O,1.33,
CH3NO2,1.38,
CH3OH,1.33,
C5H5OH,1.36,
Acetone,1.36,
CH2Cl2,1.37,
CHCl3,1.45,
Toluene,1.5,
C6H6,1.5,
CCl4,1.46,
benzene,1.49792,
cyclohexane,1.42623,
LiF–Sb2O3,1.6841,
LiF–Sb2O3,1.683,
LiF–Sb2O3,1.6821,
LiF–Sb2O3,1.6805,
LiF–Sb2O3,1.6791,
LiF–Sb2O3,1.6785,
C24H38O4,1.49,6328
antimony–germanate,1.73,
Al0.04Hf0.4O0.56,1.84,
Al0.17Hf0.28O0.55,1.8,
Al0.2Hf0.22O0.58,1.8,
Al2O3ALD,1.7,
Al2O3CVD,1.7,
Citral,1.46,
Citral,1.472,
Citral,1.463,
Citral,1.468,
Citral,1.462,700
ZrO2,1.93,700
ZrO2,1.56,
Silica,1.33,
Cu3In5S9,2.8,
Cu3Ga5S9,2.67,
Cu3In5Se9,3.13,
Cu3Ga5Se9,2.72,
TiS2,2.17,
ZnO,2.1,
ZnO,2.14,
ZnO,1.98,
ZnO,1.89,1580
SiO2,1.45,1580
SiO2,1.4526,1580
SiO2,1.4546,
DOX,1.84,
NaI,1.35,
DMSO,1.479,
Acetonitrile,1.344,
DMF,1.43,
Ethyleneglycol,1.43,
Methanol,1.329,
Ethanol,1.361,
2-Propanol,1.377,
1-Butanol,1.399,
Methylamine,1.37,
Dichloromethane,1.424,
1-Decanol,1.437,
Dimethylamine,1.37,
Cyclohexane,1.426,
n-Heptane,1.388,
SiO2,1.46,
SiOF,1.45,
SiOC,1.42,
SiO2,1.41,
SiO2,1.46,
SiO2,1.44,
SiO2,1.4,6328
Oxide,1.458,6328
SiOC,1.462,6328
SiO1.9C0.17,1.435,6328
SiO1.3C0.27,1.396,6328
SiO0.9C0.46,1.36,
SiN.1,1.83,
SiN.2,1.77,
SiN.3,1.75,
LiNbO3,2.43,
neodymium,1.694,
neodymium,1.692,
neodymium,1.691,
ZnO,2.296,
Zn0.98Ag0.02O,2.304,
Zn0.94Ag0.06O,2.307,
Zn0.88Ag0.12O,2.31,
Chloroform,1.446,
1-Pentanol,1.41,
1-Butanol,1.39,
1-Propanol,1.385,
2-Propanol,1.377,
2-Butanol,1.395,
1-Hexanol,1.418,
Ethylene-glycol,1.432,
Ethanol,1.361,
Methanol,1.328,
RhB,1.333,
Benzylalcohol,1.539,
Formamide,1.455,
Acetone,1.358,
DMF,1.43,
DMSO,1.477,
RhB,1.425,
RhB,1.44,
Acetonitrile,1.344,
Anisole,1.517,
BaF2,1.4148,
H2O,1.2588,
BaF2-PrF3,1.352,
BaF2-PrF3,1.335,
BaF2-PrF3,1.313,
BaF2-PrF3,1.347,
BaF2-PrF3,1.341,
BaF2-PrF3,1.308,
BaF2-PrF3,1.323,
BaF2-PrF3,1.31,
SiO2,1.544,
UA-Ni(II)-BLF,2.55,
UA-Co(II)-BLF,1.99,
OA-Ni(II)-BLF,3.08,
OA-Co(II)-BLF,2.96,
tocopherols,1.4625,
tocopherols,1.4626,
tocopherols,1.4626,
tocopherols,1.4625,
tocopherols,1.4626,
tocopherols,1.4626,
tocopherols,1.4626,
DMM,1.351,
n-pentane,1.358,
n-heptane,1.386,
n-nonane,1.406,
n-undecane,1.416,
n-tridecane,1.426,
TiO2-P2O5(PCl3),1.72,
TiO2-P2O5(PCl3),1.76,
TiO2-P2O5(H3PO4),1.81,
TiO2-P2O5(H3PO4),1.74,
TiO2-P2O5(H3PO4)ref,1.99,
TiO2-P2O5(H3PO4)ref,1.95,
ethanol,1.378,
ethanol,1.376,
ethanol,1.375,1550
GeSbSe,2.562,1550
SiO2,1.444,
phenylethylamine,1.453,
phenylethylamine,1.466,
phenylethylamine,1.468,
phenylethylamine,1.47,
phenylethylamine,1.538,635
BK7,1.515,635
Chromium,3.5771,
EtOH,1.3614,
EtOH,1.3655,
EtOH,1.3621,
EtOH,1.3539,
H2O,1.333,
Fluorescein,1.29,
CTAB,1.27,
Methanol,1.28,
Ethanol,1.26,
Propanol,1.27,
n-Butanol,1.26,
Fe2O3,1.5056,
Tryptophan,1.33,
Lys,1.02,
Lys,1.19,
Aniline,1.4005,
aniline,1.4165,
aniline,1.4335,
aniline,1.451,
aniline,1.4685,
aniline,1.4865,
aniline,1.5045,
aniline,1.5235,
aniline,1.5435,
aniline,1.564,
aniline,1.5855,
Aniline,1.406,
aniline,1.423,
aniline,1.44,
aniline,1.4575,
aniline,1.475,
aniline,1.4925,
aniline,1.511,
aniline,1.5295,
aniline,1.548,
aniline,1.5665,
aniline,1.5855,
Aniline,1.417,
aniline,1.4385,
aniline,1.4585,
aniline,1.477,
aniline,1.4945,
aniline,1.512,
aniline,1.5285,
aniline,1.544,
aniline,1.5588,
aniline,1.5725,
o-Anisidine,1.4005,
o-anisidine,1.408,
o-anisidine,1.4135,
o-anisidine,1.421,
o-anisidine,1.4295,
o-anisidine,1.442,
o-anisidine,1.4595,
o-anisidine,1.4845,
o-anisidine,1.5115,
o-anisidine,1.541,
o-anisidine,1.5705,
o-Anisidine,1.406,
o-anisidine,1.419,
o-anisidine,1.431,
o-anisidine,1.4435,
o-anisidine,1.456,
o-anisidine,1.47,
o-anisidine,1.4875,
o-anisidine,1.5075,
o-anisidine,1.528,
o-anisidine,1.5485,
o-Anisidine,1.417,
o-anisidine,1.4355,
o-anisidine,1.4535,
o-anisidine,1.4705,
o-anisidine,1.487,
o-anisidine,1.5025,
o-anisidine,1.517,
o-anisidine,1.531,
o-anisidine,1.5445,
o-anisidine,1.5575,
H2O,1.33,
CH3NO2,1.38,
CH3OH,1.33,
C2H5OH,1.36,
Acetone,1.36,
CH2Cl2,1.37,
CHCl3,1.45,
Toluene,1.5,
C6H6,1.5,
CCl4,1.46,
HFC-134a,1.0043,
HFC-134a,1.0067,
HFC-134a,1.0088,
HFC-134a,1.0115,
HFC-134a,1.0153,
HFC-134a,1.0204,
HFC-134a,1.0277,
HFC-134a,1.0394,
HFC-134a,1.043,
HFC-134a,1.0472,
HFC-134a,1.0529,
HFC-134a,1.0565,
HFC-134a,1.0588,
HFC-134a,1.0599,
HFC-134a,1.0605,
HFC-134a,1.061,
HFC-134a,1.0616,
HFC-134a,1.0622,
HFC-134a,1.0629,
HFC-134a,1.0635,
HFC-134a,1.0642,
HFC-134a,1.0649,
HFC-134a,1.0658,
HFC-134a,1.0666,
HFC-134a,1.0676,
HFC-134a,1.0684,
HFC-134a,1.0695,
HFC-134a,1.0707,
HFC-134a,1.0722,
HFC-134a,1.0743,
HFC-134a,1.0754,
HFC-134a,1.0758,
HFC-134a,1.0764,
HFC-134a,1.0772,
HFC-134a,1.0779,
HFC-134a,1.0791,
HFC-134a,1.0802,
HFC-134a,1.0818,
HFC-134a,1.0834,
HFC-134a,1.0846,
Bromonaphthalene,1.66,
Toluene,1.4961,
Heptane,1.3876,
silicon,2.64,
silicon,2.48,
silicon,1.95,
silicon,1.7,
anthraquinone,1.7354,
anthraquinone,1.1207,
Acetonitrile,1.58,
SiO2,1.43,
Ta2O5,1.93,6328
In2O3,1.76,6328
In2O3,1.89,6328
In2O3,2.07,6328
In2O3,2.09,6328
In2O3,2.17,
silicasol,1.23,
silicasol,1.18,
silicasol,1.13,
silicasol,1.13,
silicasol,1.13,
silicasol,1.12,
silicasol,1.12,
silicasol,1.12,54606
CaAS20,1.557,
LiFe0.995Y0.0025Ag0.0025PO4,1.82,
LiFe0.995Y0.0025Ag0.0025PO4,1.99,
LiFe0.99Y0.005Ag0.005PO4,1.81,
LiFe0.99Y0.005Ag0.005PO4,1.96,
LiFe0.98Y0.01Ag0.01PO4,1.83,
LiFe0.98Y0.01Ag0.01PO4,1.97,
KSiAlO4,1.528,
LiSiAlO4,1.573,
LiSi4AlO10,1.504,
CaSi2Al2O8(HA),1.59,
CaSi2Al2O8(A),1.575,
CaSi2Al2O8(G),1.572,
SrSi2Al2O8,1.582,
CaCuSi4O10,1.635,
FeBaSi4O10(G),1.621,
K2Mg5Si12O30,1.543,
Na2Si2O5,1.497,
K2Si2O5,1.503,
Li2Si2O5,1.547,
BaSi2O5,1.597,
K4Be3Si4O12,1.523,
ZnSiO3,1.616,
BaSiO3,1.673,
Na2SiO3,1.49,
Na2Ti2Si2O9(I),1.91,
CaMgSiO6(D),1.667,
CaMgS2iO6(J),1.71,
NaFeSi2O6(A),1.771,
BaTiSi3O9(B),1.757,
Sr2Si3O9,1.599,
Pb3Si3O9,1.947,
Ca3Si3O9,1.61,
CaMn4Si5O15,1.729,
Ca2MgSi2O7,1.632,
Ca2FeSi2O7,1.69,
Ca2AlSiAlO7(G),1.669,
Ca2AlSOAlO7(G),1.638,
Ca2ZnSi2O7(H),1.672,
Mg3Al2Si3O12(P),1.705,
Fe3Al2Si3O12(A),1.83,
Mn3Al2Si3O12(S),1.8,
Ca3Cr2Si3O12,1.86,
Ca3Al2Si3O12,1.735,
Ca3Fe2Si3O12,1.895,
Na4Zr2Si3O12,1.715,
Be2SiO4,1.654,
Ca2SiO4,1.717,
Ba2SiO4,1.81,
Ba2SiO4,1.727,
Mg2SiO4,1.635,
Fe2SiO4,1.824,
Mn2SiO4,1.78,
CaMgSiO4,1.639,
CaMnSiO4,1.685,
Li4SiO4,1.594,
Li4SiO4,1.727,
Ca3MgSi2O8,1.706,
Na2ZrOSiO4,1.741,
quartz,1.544,
quartz,1.533,
cristobalite,1.482,
SiO2,2.22,
cristobalite,1.486,
SiO2,2.2,
tridymite,1.468,
SiO2,2.22,
SiO2,1.593,
SiO2,1.98,
SiO2,1.8,
SiO2,1.61,
SiO2,1.4588,
SiO2,2.27,
SiO2,1.423,
SiO2,2.26,
SiO2,1.52,
SiO2,2.12,
CaO,1.84,
CdO,2.49,
BaO,1.98,
GeO2,1.65,
MgO,1.74,
MnO,2.16,
MoO3,2.21,
PbO,2.51,
SiO2,1.54,
SnO2,1.99,
SrO,1.81,
TiO2,2.62,
WO3,2.5,
ZnO,2.01,
ZrO2,2.12,0
AlGaAs,3.59,0
AlGaAs,3.367,
MDEA,1.46528,
Methanol,1.3284,
Ethanol,1.3614,
Propan-1-ol,1.3856,
Propan-2-ol,1.3772,
Butan-1-ol,1.3993,
Butan-2-ol,1.3971,
Pentan-1-ol,1.41,
Hexanol,1.4157,
Octanol,1.4648,
Cyclohexanol,1.4648,
Ethyleneglycol,1.4318,
t-Butanol,1.3877,
Acetone,1.3587,
Hexane,1.3749,
Acetonitrile,1.3441,
Dioxane,1.4224,
CHCl3,1.4459,
CH2Cl2,1.4602,
CCl4,1.4969,
Benzene,1.5011,
Toluene,1.4969,
DMF,1.4305,
DMA,1.4334,
DMSO,1.4793,
Ethylacetate,1.3724,
Glycerol,1.472,
Pyridine,1.5102,
silicon,1.41,
PMMA,1.483,
SiO2,1.46,
GaO,1.9523,
BHb-6-hydroxyflavone,1.169,830
SiN1.25H0.01,2.025,
TiO2,2.71,
SnO2,1.98,
NaOH,1.3576,
CsI,1.7876,
H2O,1.333,
ZnS,2.2,
ZrZnF,1.49,
TRITC,1.87,
FITC,1.87,
TRITC,1.71,
FITC,2.03,
VB01,1.342,
VB02,1.342,
VB03,1.344,
VB04,1.343,
VB05,1.341,
VB06,1.342,
VB07,1.341,
VB08,1.341,
VB09,1.343,
VB10,1.341,
VB11,1.347,
VB12,1.349,
VB13,1.343,
VB14,1.341,
VB15,1.342,
VB16,1.344,
VB17,1.343,
Cristal,1.34,
OV01,1.342,
OV02,1.344,
OV04,1.343,
OV05,1.342,
OV06,1.339,
Methanol,2.01,
Ethanol,1.9,
Isopropanol,1.9,
CeO2,2.2,
MTBE,1.33301,
MTBE,1.3332,
MTBE,1.33328,
MTBE,1.33351,
MTBE,1.33361,
MTBE,1.33372,
MTBE,1.33391,
MTBE,1.33436,
Cyclohexane,1.4262,
Diethylether,1.3497,
Decanol,1.437,
1-Heptanol,1.424,
1-Hexanol,1.418,
1-Butanol,1.399,
2-Propanol,1.3772,
Acetone,1.359,
Ethanol,1.361,
Methanol,1.329,
DMF,1.43,
DMSO,1.479,
GeS2−Ga2S3−PbI2,2.1,
GeS2−Ga2S3−PbI2,2.16,
GeS2−Ga2S3−PbI2,2.17,
GeS2−Ga2S3−PbI2,2.19,
GeS2−Ga2S3−PbI2,2.05,
GeS2−Ga2S3−PbI2,2.09,
GeS2−Ga2S3−PbI2,2.17,
GeS2−Ga2S3−PbI2,2.23,546
SbNa2K,3.2,546
SbNa2K,1.76,633
Cs3Sb,3.22,390
K2CsSb,2.05,442
K2CsSb,2.7,454
K2CsSb,3.25,505
K2CsSb,3.25,602
K2CsSb,3,798
K2CsSb,2.75,442
K2CsSb,2.66,
TiO2,2.6,
CeO2,2.5,
Nb2O5,2.85,
WO3,2.38,
SnO2,2.09,
MoO3,2.24,
NiO,2.18,
Ta2O5,2.21,
ZrO2,2.13,
HfO2,2.08,
CeO2,1.86,
HfO2,1.87,
MoO3,1.99,
Nb2O5,2.09,
NiO,1.89,
SnO2,2.03,
Ta2O5,1.99,
TiO2,2.1,
WO3,1.93,
ZrO2,1.9,
Cr2O3,1.715,
Cr2O3,1.705,
Cr2O3,1.701,
Cr2O3,1.697,
Cr2O3,1.693,
Cr2O3,1.685,
Ethanol,1.3614,
Chloroform,1.4429,
Cyclohexane,1.426,
Toluene,1.4941,
Chloroform,1.443,
Ethylacetate,1.3723,
Methanol,1.329,
Acetonitrile,1.344,
DMSO,1.4787,
CeO2,2.2,
Tm2O3,5.24,
Tm2O3,4.418,
Tm2O3,3.94,
Tm2O3,3.485,593
PbO−Bi2O3−SiO2,1.651,593
PbO−Bi2O3−SiO2,1.652,593
PbO−Bi2O3−SiO2,1.652,593
PbO−Bi2O3−SiO2,1.653,593
PbO−Bi2O3−SiO2,1.653,6438
ZrW2O8,1.8709,5769
ZrW2O8,1.8819,5460
ZrW2O8,1.8887,5086
ZrW2O8,1.8984,4800
ZrW2O8,1.9087,4680
ZrW2O8,1.9139,4358
ZrW2O8,1.9294,
ZrW2O8,1.8268,5893
ZrW2O8,1.8794,
barium,1.91,
barium,1.93,
barium,1.94,
barium,1.93,
Methanol,1.3267,
Vinylacetate,1.3926,
Pentylacetate,1.3916,
Isopentylacetate,1.398,
Styrene,1.5469,
Xylene,1.4972,532
CuTPP,1.5738,532
styrene,1.6357,532
xylene,1.6302,
PMMA,1.484,
furfural,1.5642,
ZrTiO2,1.566,
ZrTiO2,1.562,
ZrTiO2,1.588,
ZrTiO2,1.556,
ZrTiO2,1.56,
Y2Te4O11,1.9242,
Y2Te4O11,1.9365,
Y2Te4O11,1.9455,
Y2Te4O11,1.97,
Y2Te4O11,1.9891,
Y2Te4O11,2.0162,
Methylacetate,1.3589,
Ethylacetate,1.35893,
CaF2,1.425,
Sr–F,1.432,
Ba–F,1.466,
LaF3,1.59,
La–F2,1.59,
LiBaF3,1.544,
Mg–F,1.428,
BaY2F8,1.498,
BaGa2O4,1.75,
Ba–O2,1.75,
BaAl2O4,1.657,
Ba–O2,1.657,
SrClF,1.6,
Sr–Cl,1.6,
BaClF,1.62,
Ba–Cl,1.62,
SrBrF,1.58,
Sr–Br,1.58,
BaBrF,1.6,
Ba–Br,1.6,
PbMoO4,2.32,
Pb–O,2.22,
Ba–O,1.842,
CaMoO4,1.98,
Y3Ga5O12,1.94,
Lu3Al5O12,1.84,
SrZnO2,2.3,
Sr–O2,2.3,
CdCl2,1.7,
BaZrO3,2.2,
CaAl2B2O7,1.563,
SrAl2B2O7,1.57,
SrGa2O4,1.752,
n-tetradecane,1.43,
SiOx,1.27,
SiOx,1.49,
SiOx,1.82,
SiOx,2.17,
KTP,1.7201,
KTP,1.7026,
KTP,1.673,
KTP,1.631,
KTP,1.5783,
KTP,1.5031,
KTP,1.7277,
KTP,1.7105,
KTP,1.681,
KTP,1.6386,
KTP,1.582,
KTP,1.5104,
KTP,1.7201,
KTP,1.7026,
KTP,1.6738,
KTP,1.6302,
KTP,1.5737,
KTP,1.5018,1064
Al2O3,1.754,
Hydrogensulfide,1.467,
VitB12-BSA,1.05,6328
L-alanine,1.8,
hydrogen,2.6,
hydrogen,2.8,
hydrogen,2.8,
hydrogen,2.9,
hydrogen,2.4,
hydrogen,2.5,430
NiO,1.79,430
Ni0.98Sr0.02O,2.31,430
Ni0.96Sr0.04O,3.96,
Quartz,1.544,
Quartz,1.553,
Quartz,1.5485,
Kaolinite,1.533,
Kaolinite,1.577,
Kaolinite,1.555,
Halite,1.544,
Hematite,2.94,
Hematite,3.22,
Hematite,3.08,
Dolomite,1.5026,
Dolomite,1.6817,
Dolomite,1.59215,
Lizardite,1.541,
Lizardite,1.568,
Lizardite,1.5545,
Calcite,1.486,
Calcite,1.74,
Calcite,1.613,
Quartz,1.544,
Quartz,1.553,
Quartz,1.5485,
Goethite,1.87,
Goethite,2.4,
Goethite,2.135,
AZO,1.754,
AZO,1.788,
MDEA,1.5627,
Piperazine-diol,1.5609,
CaCl2,1.44,
Bromonaphthalene,1.66,
PVC,1.58,
Bromonaphthalene,1.66,
CaCl2,1.44,
Dy2O3,1.689,
NdPb2,1.649,
NdPb4,1.65,
NdPb6,1.651,
NdPb8,1.652,
NdPb10,1.653,
YbPb2,1.632,
YbPb4,1.636,
YbPb6,1.637,
YbPb8,1.639,
YbPb10,1.642,1
Hexane,1.89,2
Hexane,1.89,355
Hexane,1.89,1
Methylcyclohexane,2.02,2
Methylcyclohexane,2.02,356
Methylcyclohexane,2.02,1
Carbontetrachloride,2.24,2
Carbontetrachloride,2.24,359
Carbontetrachloride,2.24,1
Toluene,2.38,2
Toluene,2.38,359
Toluene,2.38,1
Diethylether,4.34,2
Diethylether,4.34,354
Diethylether,4.34,1
Chloroform,4.81,2
Chloroform,4.81,357
Chloroform,4.81,1375
Hexane,1.89,396
Hexane,1.89,1423
Methylcyclohexane,2.02,400
Methylcyclohexane,2.02,1460
Carbontetrachloride,2.24,408
Carbontetrachloride,2.24,1497
Toluene,2.38,410
Toluene,2.38,1352
Diethylether,4.34,399
Diethylether,4.34,1446
Chloroform,4.81,410
Chloroform,4.81,
CO,1.464,
NO,1.464,
BO,1.466,
n-Propanol,1.9475,
n-Butanol,2.5698,
n-Pentanol,3.517,
LiClO4,1.3851,
LiClO4,1.3852,
LiClO4,1.3854,
LiClO4,1.3858,
LiClO4,1.3862,
LiClO4,1.3866,
LiClO4,1.4003,
LiClO4,1.4004,
LiClO4,1.4006,
LiClO4,1.401,
LiClO4,1.4016,
LiClO4,1.4022,
LiClO4,1.4108,
LiClO4,1.4109,
LiClO4,1.4111,
LiClO4,1.4116,
LiClO4,1.4122,
LiClO4,1.413,
H2Odipoles,1.33576,
H2Odipoles,1.332,
H2Odipoles,1.32516,
H2Odipoles,1.31264,
H2Odipoles,1.29469,
H2Odipoles,1.2742,
H2Odipoles,1.25048,
H2Odipoles,1.23823,
H2Odipoles,1.21314,
H2Odipoles,1.17411,
H2Odipoles,1.15648,550
TiO2,1.35,550
TiO2,1.27,550
TiO2,1.31,550
TiO2,1.45,1056
PKCFAN,1.536,
PKCFAN,1.536,
PKCFAN,1.536,1062
BBONd,1.62,394
BBONd,1.62,98
BBONd,1.62,1060
ZnAlBiB,1.805,30
ZnAlBiB,1.805,11
ZnAlBiB,1.805,1062
BNaNf,1.629,18
BNaNf,1.629,73
BNaNf,1.629,
o-Chloroaniline,1.4005,
o-chloroaniline,1.422,
o-chloroaniline,1.437,
o-chloroaniline,1.451,
o-chloroaniline,1.4655,
o-chloroaniline,1.4815,
o-chloroaniline,1.5,
o-chloroaniline,1.521,
o-chloroaniline,1.5435,
o-chloroaniline,1.566,
o-chloroaniline,1.589,
o-Chloroaniline,1.406,
o-chloroaniline,1.427,
o-chloroaniline,1.4385,
o-chloroaniline,1.451,
o-chloroaniline,1.463,
o-chloroaniline,1.482,
o-chloroaniline,1.498,
o-chloroaniline,1.5215,
o-chloroaniline,1.5425,
o-chloroaniline,1.5655,
o-Chloroaniline,1.417,
o-chloroaniline,1.4465,
o-chloroaniline,1.458,
o-chloroaniline,1.471,
o-chloroaniline,1.487,
o-chloroaniline,1.504,
o-chloroaniline,1.524,
o-chloroaniline,1.54,
o-chloroaniline,1.557,
o-chloroaniline,1.5785,
m-Chloroaniline,1.4005,
m-chloroaniline,1.418,
m-chloroaniline,1.4355,
m-chloroaniline,1.453,
m-chloroaniline,1.4705,
m-chloroaniline,1.489,
m-chloroaniline,1.508,
m-chloroaniline,1.5275,
m-chloroaniline,1.5475,
m-chloroaniline,1.569,
m-chloroaniline,1.59,
m-Chloroaniline,1.406,
m-chloroaniline,1.423,
m-chloroaniline,1.4355,
m-chloroaniline,1.453,
m-chloroaniline,1.4685,
m-chloroaniline,1.4895,
m-chloroaniline,1.505,
m-chloroaniline,1.5265,
m-chloroaniline,1.546,
m-chloroaniline,1.5675,
m-Chloroaniline,1.417,
m-chloroaniline,1.4415,
m-chloroaniline,1.456,
m-chloroaniline,1.4775,
m-chloroaniline,1.496,
m-chloroaniline,1.516,
m-chloroaniline,1.5325,
m-chloroaniline,1.5425,
m-chloroaniline,1.5605,
m-chloroaniline,1.5745,200
quartz,1.687,220
quartz,1.543,240
quartz,1.552,260
quartz,1.571,280
quartz,1.539,300
quartz,1.503,320
quartz,1.471,340
quartz,1.492,360
quartz,1.505,380
quartz,1.512,400
quartz,1.522,420
quartz,1.527,440
quartz,1.528,460
quartz,1.525,480
quartz,1.52,500
quartz,1.515,520
quartz,1.511,540
quartz,1.509,560
quartz,1.505,580
quartz,1.507,600
quartz,1.509,620
quartz,1.509,640
quartz,1.51,660
quartz,1.511,680
quartz,1.513,700
quartz,1.517,720
quartz,1.522,740
quartz,1.529,760
quartz,1.538,780
quartz,1.546,800
quartz,1.554,840
quartz,1.559,880
quartz,1.558,920
quartz,1.55,960
quartz,1.548,1000
quartz,1.548,1040
quartz,1.551,1080
quartz,1.55,1120
quartz,1.551,1160
quartz,1.549,1200
quartz,1.55,1240
quartz,1.547,1280
quartz,1.544,1320
quartz,1.541,1360
quartz,1.532,1400
quartz,1.533,1440
quartz,1.535,1480
quartz,1.532,1520
quartz,1.527,1560
quartz,1.527,1600
quartz,1.525,1640
quartz,1.522,1680
quartz,1.519,1720
quartz,1.512,1760
quartz,1.513,1800
quartz,1.521,1840
quartz,1.515,1880
quartz,1.516,1920
quartz,1.507,1960
quartz,1.509,2000
quartz,1.505,2040
quartz,1.51,2080
quartz,1.511,2120
quartz,1.511,2160
quartz,1.493,2200
quartz,1.501,2240
quartz,1.493,2280
quartz,1.483,2320
quartz,1.495,2360
quartz,1.494,2400
quartz,1.485,2440
quartz,1.485,2480
quartz,1.483,2520
quartz,1.481,2560
quartz,1.479,2600
quartz,1.473,2640
quartz,1.46,2680
quartz,1.44,2700
quartz,1.433,2720
quartz,1.417,2760
quartz,1.409,2800
quartz,1.438,2840
quartz,1.445,2880
quartz,1.482,2920
quartz,1.458,2960
quartz,1.445,3000
quartz,1.507,200
PMMA,1.82,220
PMMA,1.635,240
PMMA,1.626,260
PMMA,1.637,280
PMMA,1.583,300
PMMA,1.552,320
PMMA,1.539,340
PMMA,1.533,360
PMMA,1.535,380
PMMA,1.507,400
PMMA,1.527,420
PMMA,1.531,440
PMMA,1.529,460
PMMA,1.523,480
PMMA,1.515,500
PMMA,1.509,520
PMMA,1.504,540
PMMA,1.499,560
PMMA,1.495,580
PMMA,1.495,600
PMMA,1.496,620
PMMA,1.495,640
PMMA,1.496,660
PMMA,1.497,680
PMMA,1.499,700
PMMA,1.501,720
PMMA,1.506,740
PMMA,1.514,760
PMMA,1.522,780
PMMA,1.53,800
PMMA,1.536,840
PMMA,1.541,880
PMMA,1.535,920
PMMA,1.523,960
PMMA,1.523,1000
PMMA,1.521,1040
PMMA,1.524,1080
PMMA,1.525,1120
PMMA,1.521,1160
PMMA,1.512,1200
PMMA,1.52,1240
PMMA,1.523,1280
PMMA,1.522,1320
PMMA,1.522,1360
PMMA,1.5,1400
PMMA,1.5,1440
PMMA,1.503,1480
PMMA,1.51,1520
PMMA,1.507,1560
PMMA,1.507,1600
PMMA,1.506,1640
PMMA,1.498,1680
PMMA,1.509,1720
PMMA,1.494,1760
PMMA,1.481,1800
PMMA,1.481,1840
PMMA,1.482,1880
PMMA,1.476,1920
PMMA,1.474,1960
PMMA,1.468,2000
PMMA,1.477,2040
PMMA,1.474,2080
PMMA,1.479,2120
PMMA,1.484,2160
PMMA,1.488,2200
PMMA,1.494,2240
PMMA,1.519,2280
PMMA,1.516,2320
PMMA,1.511,2360
PMMA,1.509,2400
PMMA,1.512,2440
PMMA,1.512,2480
PMMA,1.505,2520
PMMA,1.51,2560
PMMA,1.52,2600
PMMA,1.479,2640
PMMA,1.509,2680
PMMA,1.493,2700
PMMA,1.487,2720
PMMA,1.48,2760
PMMA,1.488,2800
PMMA,1.484,2840
PMMA,1.475,2880
PMMA,1.481,2920
PMMA,1.443,2960
PMMA,1.431,3000
PMMA,1.552,
Dioxane,1.4155,
Carbontetrachloride,1.46,
Benzene,1.5011,
p-Xylene,1.4943,
Toluene,1.4961,
Anisole,1.5155,
Chloroform,1.446,
n-Butylacetate,1.395,
Ethylacetate,1.448,
Methylacetate,1.398,
Octanol,1.427,
Cyclohexanol,1.465,
n-Butylalcohol,1.3998,
Methylethylketone,1.3793,
Isobutylalcohol,1.3954,
Isopropylalcohol,1.385,
